,Rank,Player 1,Player 2,Stage,Winner
2885,platinum-diamond,Peach,Falco,Pokémon Stadium,Player 2
2886,diamond-diamond,Captain Falcon,Ganondorf,Yoshi’s Story,Player 1
2887,master-diamond,Fox,Jigglypuff,Fountain of Dreams,Player 2
2888,diamond-diamond,Ness,Ganondorf,Yoshi’s Story,Player 1
2889,master-master,Fox,Peach,Battlefield,Player 1
2890,master-platinum,Samus,Captain Falcon,Yoshi’s Story,Player 1
2891,platinum-platinum,Bowser,Captain Falcon,Final Destination,Player 2
2892,master-platinum,Fox,Falco,Final Destination,Player 1
2893,master-master,Fox,Sheik,Final Destination,Player 2
2894,master-platinum,Dr. Mario,Fox,Yoshi’s Story,Player 1
2895,master-diamond,Captain Falcon,Falco,Final Destination,Player 2
2896,platinum-platinum,Marth,Fox,Yoshi’s Story,Player 2
2897,master-diamond,Fox,Peach,Dream Land,Player 1
2898,diamond-diamond,Samus,Captain Falcon,Battlefield,Player 1
2899,diamond-diamond,Captain Falcon,Falco,Fountain of Dreams,Player 2
2900,diamond-diamond,Peach,Falco,Pokémon Stadium,Player 1
2901,master-diamond,Falco,Marth,Fountain of Dreams,Player 2
2902,master-master,Marth,Captain Falcon,Battlefield,Player 2
2903,platinum-platinum,Mewtwo,Falco,Pokémon Stadium,Player 1
2904,master-master,Sheik,Fox,Pokémon Stadium,Player 2
2905,master-diamond,Marth,Marth,Yoshi’s Story,Player 2
2906,platinum-platinum,Fox,Marth,Yoshi’s Story,Player 2
2907,master-diamond,Falco,Fox,Yoshi’s Story,Player 1
2908,master-diamond,Luigi,Fox,Pokémon Stadium,Player 2
2909,diamond-diamond,Roy,Peach,Fountain of Dreams,Player 2
2910,master-diamond,Falco,Dr. Mario,Fountain of Dreams,Player 1
2911,master-diamond,Captain Falcon,Falco,Pokémon Stadium,Player 1
2912,diamond-diamond,Falco,Fox,Yoshi’s Story,Player 1
2913,diamond-diamond,Samus,Luigi,Pokémon Stadium,Player 1
2914,master-master,Marth,Marth,Pokémon Stadium,Player 2
2915,platinum-diamond,Fox,Young Link,Yoshi’s Story,Player 1
2916,master-master,Falco,Peach,Yoshi’s Story,Player 1
2917,diamond-diamond,Falco,Fox,Pokémon Stadium,Player 2
2918,master-platinum,Falco,Marth,Fountain of Dreams,Player 2
2919,platinum-platinum,Fox,Falco,Pokémon Stadium,Player 2
2920,master-master,Falco,Fox,Yoshi’s Story,Player 1
2921,diamond-diamond,Mario,Fox,Fountain of Dreams,Player 1
2922,diamond-diamond,Falco,Fox,Yoshi’s Story,Player 2
2923,platinum-diamond,Falco,Falco,Pokémon Stadium,Player 2
2924,master-diamond,Fox,Marth,Final Destination,Player 2
2925,master-platinum,Jigglypuff,Ganondorf,Final Destination,Player 2
2926,master-diamond,Fox,Fox,Pokémon Stadium,Player 2
2927,master-master,Sheik,Falco,Dream Land,Player 1
2928,diamond-diamond,Marth,Sheik,Final Destination,Player 2
2929,master-diamond,Falco,Fox,Battlefield,Player 1
2930,master-platinum,Fox,Samus,Pokémon Stadium,Player 2
2931,master-diamond,Fox,Falco,Final Destination,Player 1
2932,master-master,Ganondorf,Jigglypuff,Final Destination,Player 2
2933,platinum-diamond,Falco,Fox,Pokémon Stadium,Player 1
2934,diamond-diamond,Fox,Fox,Pokémon Stadium,Player 2
2935,master-diamond,Samus,Sheik,Yoshi’s Story,Player 2
2936,platinum-platinum,Peach,Peach,Battlefield,Player 2
2937,master-diamond,Luigi,Sheik,Final Destination,Player 1
2938,master-master,Fox,Pikachu,Fountain of Dreams,Player 2
2939,master-diamond,Peach,Ganondorf,Pokémon Stadium,Player 1
2940,platinum-platinum,Mario,Marth,Pokémon Stadium,Player 2
2941,master-master,Falco,Ganondorf,Yoshi’s Story,Player 2
2942,diamond-diamond,Fox,Dr. Mario,Final Destination,Player 2
2943,master-master,Fox,Falco,Final Destination,Player 2
2944,diamond-diamond,Mr. Game & Watch,Falco,Pokémon Stadium,Player 1
2945,platinum-platinum,Ganondorf,Falco,Pokémon Stadium,Player 2
2946,diamond-diamond,Fox,Fox,Final Destination,Player 2
2947,platinum-diamond,Marth,Falco,Pokémon Stadium,Player 2
2948,master-diamond,Captain Falcon,Jigglypuff,Final Destination,Player 2
2949,master-master,Captain Falcon,Fox,Pokémon Stadium,Player 2
2950,platinum-diamond,Sheik,Fox,Pokémon Stadium,Player 1
2951,master-master,Samus,Falco,Fountain of Dreams,Player 2
2952,master-master,Fox,Fox,Dream Land,Player 2
2953,platinum-platinum,Fox,Falco,Final Destination,Player 2
2954,master-diamond,Falco,Sheik,Final Destination,Player 1
2955,master-diamond,Fox,Sheik,Yoshi’s Story,Player 1
2956,master-master,Jigglypuff,Falco,Final Destination,Player 2
2957,platinum-diamond,Fox,Falco,Pokémon Stadium,Player 1
2958,diamond-diamond,Falco,Peach,Fountain of Dreams,Player 2
2959,platinum-platinum,Roy,Dr. Mario,Fountain of Dreams,Player 2
2960,platinum-diamond,Fox,Jigglypuff,Fountain of Dreams,Player 2
2961,master-platinum,Fox,Sheik,Fountain of Dreams,Player 1
2962,master-master,Marth,Sheik,Final Destination,Player 2
2963,diamond-diamond,Fox,Sheik,Dream Land,Player 2
2964,master-diamond,Falco,Jigglypuff,Dream Land,Player 1
2965,master-diamond,Fox,Falco,Dream Land,Player 1
2966,master-master,Peach,Marth,Fountain of Dreams,Player 1
2967,platinum-platinum,Falco,Roy,Pokémon Stadium,Player 2
2968,platinum-diamond,Falco,Fox,Fountain of Dreams,Player 2
2969,platinum-diamond,Falco,Sheik,Yoshi’s Story,Player 2
2970,master-platinum,Fox,Falco,Final Destination,Player 1
2971,platinum-platinum,Falco,Marth,Battlefield,Player 2
2972,diamond-diamond,Sheik,Falco,Pokémon Stadium,Player 2
2973,master-diamond,Captain Falcon,Fox,Yoshi’s Story,Player 1
2974,master-platinum,Peach,Marth,Final Destination,Player 1
2975,platinum-platinum,Sheik,Marth,Final Destination,Player 1
2976,diamond-diamond,Falco,Peach,Final Destination,Player 1
2977,master-master,Mr. Game & Watch,Ganondorf,Final Destination,Player 1
2978,diamond-diamond,Ness,Fox,Final Destination,Player 1
2979,diamond-diamond,Samus,Fox,Final Destination,Player 2
2980,master-platinum,Samus,Donkey Kong,Pokémon Stadium,Player 1
2981,master-master,Captain Falcon,Fox,Final Destination,Player 2
2982,diamond-diamond,Jigglypuff,Fox,Fountain of Dreams,Player 2
2983,master-master,Marth,Yoshi,Final Destination,Player 2
2984,master-master,Jigglypuff,Fox,Final Destination,Player 2
2985,master-master,Donkey Kong,Fox,Pokémon Stadium,Player 2
2986,master-diamond,Falco,Fox,Yoshi’s Story,Player 1
2987,master-diamond,Fox,Falco,Dream Land,Player 2
2988,diamond-diamond,Peach,Donkey Kong,Battlefield,Player 2
2989,platinum-platinum,Sheik,Sheik,Yoshi’s Story,Player 2
2990,master-diamond,Fox,Jigglypuff,Yoshi’s Story,Player 1
2991,platinum-platinum,Luigi,Marth,Yoshi’s Story,Player 1
2992,diamond-diamond,Mewtwo,Fox,Pokémon Stadium,Player 2
2993,master-master,Fox,Ganondorf,Pokémon Stadium,Player 1
2994,diamond-diamond,Falco,Falco,Final Destination,Player 1
2995,diamond-diamond,Captain Falcon,Dr. Mario,Yoshi’s Story,Player 2
2996,platinum-diamond,Peach,Ice Climbers,Battlefield,Player 1
2997,master-master,Peach,Fox,Fountain of Dreams,Player 2
2998,master-diamond,Fox,Falco,Pokémon Stadium,Player 1
2999,master-diamond,Marth,Mr. Game & Watch,Pokémon Stadium,Player 2
3000,diamond-diamond,Falco,Falco,Pokémon Stadium,Player 2
3001,master-master,Falco,Marth,Final Destination,Player 1
3002,master-diamond,Mewtwo,Sheik,Dream Land,Player 2
3003,platinum-platinum,Peach,Captain Falcon,Final Destination,Player 1
3004,master-diamond,Sheik,Marth,Final Destination,Player 2
3005,master-master,Falco,Fox,Dream Land,Player 2
3006,master-platinum,Falco,Falco,Fountain of Dreams,Player 2
3007,master-diamond,Falco,Fox,Yoshi’s Story,Player 1
3008,master-diamond,Fox,Falco,Yoshi’s Story,Player 1
3009,master-platinum,Falco,Ness,Fountain of Dreams,Player 1
3010,platinum-diamond,Fox,Roy,Fountain of Dreams,Player 1
3011,master-master,Fox,Captain Falcon,Final Destination,Player 1
3012,diamond-diamond,Falco,Marth,Fountain of Dreams,Player 1
3013,platinum-diamond,Fox,Sheik,Pokémon Stadium,Player 1
3014,master-platinum,Falco,Fox,Pokémon Stadium,Player 1
3015,master-platinum,Marth,Fox,Pokémon Stadium,Player 1
3016,platinum-platinum,Marth,Captain Falcon,Final Destination,Player 2
3017,platinum-platinum,Captain Falcon,Peach,Pokémon Stadium,Player 1
3018,platinum-diamond,Marth,Fox,Fountain of Dreams,Player 2
3019,platinum-diamond,Jigglypuff,Falco,Final Destination,Player 2
3020,platinum-platinum,Captain Falcon,Captain Falcon,Dream Land,Player 1
3021,master-diamond,Luigi,Falco,Final Destination,Player 1
3022,platinum-platinum,Falco,Marth,Pokémon Stadium,Player 1
3023,platinum-platinum,Captain Falcon,Falco,Pokémon Stadium,Player 2
3024,master-diamond,Falco,Fox,Final Destination,Player 1
3025,master-platinum,Fox,Falco,Fountain of Dreams,Player 2
3026,platinum-diamond,Fox,Sheik,Dream Land,Player 1
3027,master-diamond,Falco,Captain Falcon,Pokémon Stadium,Player 2
3028,master-diamond,Sheik,Ness,Yoshi’s Story,Player 1
3029,master-master,Young Link,Pikachu,Fountain of Dreams,Player 2
3030,platinum-platinum,Fox,Falco,Fountain of Dreams,Player 2
3031,master-master,Fox,Fox,Final Destination,Player 2
3032,diamond-diamond,Falco,Fox,Final Destination,Player 1
3033,diamond-diamond,Falco,Samus,Final Destination,Player 1
3034,platinum-diamond,Sheik,Fox,Final Destination,Player 2
3035,master-master,Fox,Link,Yoshi’s Story,Player 1
3036,platinum-diamond,Peach,Dr. Mario,Final Destination,Player 2
3037,platinum-diamond,Falco,Ness,Final Destination,Player 2
3038,platinum-diamond,Falco,Fox,Final Destination,Player 2
3039,master-master,Sheik,Fox,Battlefield,Player 2
3040,master-master,Jigglypuff,Pikachu,Yoshi’s Story,Player 2
3041,master-diamond,Fox,Dr. Mario,Pokémon Stadium,Player 1
3042,diamond-diamond,Ice Climbers,Link,Final Destination,Player 2
3043,master-platinum,Samus,Ganondorf,Final Destination,Player 1
3044,master-platinum,Captain Falcon,Jigglypuff,Final Destination,Player 1
3045,master-diamond,Falco,Luigi,Battlefield,Player 2
3046,platinum-diamond,Fox,Fox,Final Destination,Player 2
3047,master-diamond,Sheik,Captain Falcon,Final Destination,Player 2
3048,diamond-diamond,Ice Climbers,Falco,Pokémon Stadium,Player 2
3049,master-platinum,Jigglypuff,Falco,Final Destination,Player 2
3050,platinum-diamond,Peach,Peach,Battlefield,Player 2
3051,master-platinum,Falco,Sheik,Final Destination,Player 1
3052,master-master,Marth,Dr. Mario,Yoshi’s Story,Player 1
3053,platinum-diamond,Marth,Fox,Final Destination,Player 1
3054,platinum-diamond,Link,Fox,Pokémon Stadium,Player 2
3055,platinum-platinum,Young Link,Falco,Yoshi’s Story,Player 1
3056,platinum-platinum,Falco,Fox,Fountain of Dreams,Player 1
3057,platinum-platinum,Fox,Marth,Pokémon Stadium,Player 2
3058,master-diamond,Pikachu,Fox,Final Destination,Player 2
3059,master-platinum,Falco,Jigglypuff,Final Destination,Player 1
3060,diamond-diamond,Captain Falcon,Peach,Pokémon Stadium,Player 1
3061,master-platinum,Marth,Fox,Yoshi’s Story,Player 1
3062,platinum-platinum,Falco,Jigglypuff,Final Destination,Player 2
3063,platinum-diamond,Roy,Falco,Dream Land,Player 1
3064,platinum-diamond,Fox,Falco,Pokémon Stadium,Player 1
3065,platinum-diamond,Pikachu,Sheik,Fountain of Dreams,Player 2
3066,master-diamond,Peach,Ice Climbers,Final Destination,Player 2
3067,master-platinum,Fox,Falco,Yoshi’s Story,Player 1
3068,platinum-diamond,Fox,Captain Falcon,Battlefield,Player 2
3069,master-platinum,Marth,Peach,Final Destination,Player 1
3070,platinum-diamond,Sheik,Falco,Yoshi’s Story,Player 2
3071,master-diamond,Fox,Jigglypuff,Pokémon Stadium,Player 1
3072,master-diamond,Fox,Captain Falcon,Pokémon Stadium,Player 1
3073,platinum-diamond,Peach,Falco,Fountain of Dreams,Player 2
3074,master-diamond,Sheik,Fox,Fountain of Dreams,Player 2
3075,platinum-diamond,Falco,Peach,Yoshi’s Story,Player 2
3076,master-platinum,Luigi,Fox,Final Destination,Player 2
3077,platinum-diamond,Fox,Ice Climbers,Pokémon Stadium,Player 1
3078,master-platinum,Jigglypuff,Fox,Yoshi’s Story,Player 2
3079,diamond-diamond,Falco,Fox,Dream Land,Player 2
3080,master-master,Fox,Ganondorf,Yoshi’s Story,Player 1
3081,master-diamond,Sheik,Falco,Final Destination,Player 2
3082,master-master,Yoshi,Fox,Final Destination,Player 1
3083,master-diamond,Fox,Fox,Yoshi’s Story,Player 2
3084,master-diamond,Fox,Falco,Yoshi’s Story,Player 1
3085,platinum-platinum,Jigglypuff,Fox,Final Destination,Player 2
3086,master-platinum,Peach,Yoshi,Final Destination,Player 2
3087,master-diamond,Samus,Sheik,Dream Land,Player 2
3088,diamond-diamond,Falco,Falco,Final Destination,Player 2
3089,master-master,Pikachu,Fox,Final Destination,Player 2
3090,master-diamond,Jigglypuff,Sheik,Yoshi’s Story,Player 1
3091,diamond-diamond,Fox,Falco,Yoshi’s Story,Player 2
3092,master-master,Fox,Marth,Pokémon Stadium,Player 1
3093,diamond-diamond,Pikachu,Ice Climbers,Final Destination,Player 2
3094,master-master,Fox,Sheik,Dream Land,Player 1
3095,platinum-diamond,Ness,Falco,Final Destination,Player 2
3096,platinum-diamond,Fox,Captain Falcon,Pokémon Stadium,Player 1
3097,master-platinum,Marth,Fox,Final Destination,Player 1
3098,master-diamond,Fox,Marth,Final Destination,Player 1
3099,platinum-diamond,Falco,Dr. Mario,Final Destination,Player 2
3100,master-platinum,Marth,Fox,Pokémon Stadium,Player 2
3101,platinum-platinum,Sheik,Roy,Yoshi’s Story,Player 1
3102,diamond-diamond,Captain Falcon,Samus,Final Destination,Player 1
3103,diamond-diamond,Falco,Falco,Battlefield,Player 2
3104,diamond-diamond,Fox,Marth,Final Destination,Player 1
3105,master-platinum,Captain Falcon,Fox,Yoshi’s Story,Player 2
3106,diamond-diamond,Peach,Sheik,Final Destination,Player 1
3107,diamond-diamond,Falco,Jigglypuff,Final Destination,Player 1
3108,master-platinum,Marth,Fox,Yoshi’s Story,Player 1
3109,platinum-platinum,Sheik,Falco,Dream Land,Player 2
3110,master-master,Falco,Yoshi,Battlefield,Player 1
3111,diamond-diamond,Samus,Falco,Fountain of Dreams,Player 2
3112,master-diamond,Captain Falcon,Falco,Final Destination,Player 1
3113,diamond-diamond,Fox,Yoshi,Yoshi’s Story,Player 1
3114,master-platinum,Captain Falcon,Falco,Final Destination,Player 1
3115,master-platinum,Falco,Falco,Final Destination,Player 1
3116,platinum-diamond,Falco,Kirby,Pokémon Stadium,Player 2
3117,diamond-diamond,Captain Falcon,Fox,Fountain of Dreams,Player 2
3118,master-platinum,Ice Climbers,Marth,Pokémon Stadium,Player 1
3119,master-master,Fox,Sheik,Fountain of Dreams,Player 1
3120,master-platinum,Fox,Marth,Final Destination,Player 1
3121,master-diamond,Fox,Falco,Final Destination,Player 1
3122,diamond-diamond,Captain Falcon,Falco,Yoshi’s Story,Player 2
3123,master-diamond,Jigglypuff,Marth,Final Destination,Player 1
3124,master-master,Falco,Sheik,Pokémon Stadium,Player 2
3125,diamond-diamond,Peach,Fox,Final Destination,Player 1
3126,platinum-platinum,Jigglypuff,Peach,Fountain of Dreams,Player 1
3127,platinum-diamond,Sheik,Falco,Final Destination,Player 1
3128,platinum-diamond,Marth,Luigi,Yoshi’s Story,Player 2
3129,diamond-diamond,Marth,Marth,Final Destination,Player 2
3130,platinum-diamond,Fox,Peach,Yoshi’s Story,Player 1
3131,diamond-diamond,Fox,Falco,Yoshi’s Story,Player 1
3132,master-diamond,Falco,Ice Climbers,Pokémon Stadium,Player 1
3133,platinum-diamond,Fox,Sheik,Final Destination,Player 2
3134,master-diamond,Jigglypuff,Sheik,Final Destination,Player 1
3135,master-diamond,Sheik,Captain Falcon,Final Destination,Player 2
3136,master-diamond,Fox,Fox,Final Destination,Player 1
3137,master-master,Captain Falcon,Fox,Final Destination,Player 2
3138,diamond-diamond,Peach,Fox,Battlefield,Player 2
3139,platinum-diamond,Fox,Sheik,Yoshi’s Story,Player 1
3140,master-diamond,Fox,Fox,Final Destination,Player 1
3141,diamond-diamond,Captain Falcon,Jigglypuff,Final Destination,Player 2
3142,master-diamond,Ganondorf,Jigglypuff,Battlefield,Player 1
3143,master-diamond,Peach,Mr. Game & Watch,Fountain of Dreams,Player 2
3144,master-platinum,Marth,Sheik,Final Destination,Player 1
3145,master-platinum,Jigglypuff,Jigglypuff,Yoshi’s Story,Player 2
3146,platinum-platinum,Yoshi,Dr. Mario,Dream Land,Player 1
3147,master-diamond,Fox,Peach,Dream Land,Player 2
3148,platinum-diamond,Marth,Dr. Mario,Yoshi’s Story,Player 2
3149,platinum-diamond,Ice Climbers,Falco,Pokémon Stadium,Player 2
3150,master-platinum,Fox,Fox,Final Destination,Player 2
3151,master-diamond,Fox,Samus,Fountain of Dreams,Player 1
3152,master-platinum,Fox,Fox,Yoshi’s Story,Player 2
3153,diamond-diamond,Falco,Falco,Yoshi’s Story,Player 2
3154,diamond-diamond,Fox,Falco,Yoshi’s Story,Player 1
3155,diamond-diamond,Falco,Falco,Pokémon Stadium,Player 2
3156,diamond-diamond,Captain Falcon,Marth,Yoshi’s Story,Player 1
3157,platinum-platinum,Captain Falcon,Marth,Battlefield,Player 2
3158,platinum-platinum,Fox,Falco,Fountain of Dreams,Player 2
3159,master-platinum,Mr. Game & Watch,Fox,Yoshi’s Story,Player 2
3160,master-master,Falco,Falco,Yoshi’s Story,Player 1
3161,diamond-diamond,Zelda/Sheik,Mr. Game & Watch,Yoshi’s Story,Player 1
3162,master-diamond,Ice Climbers,Falco,Pokémon Stadium,Player 2
3163,master-diamond,Marth,Fox,Pokémon Stadium,Player 1
3164,master-diamond,Mewtwo,Falco,Pokémon Stadium,Player 2
3165,master-master,Fox,Sheik,Yoshi’s Story,Player 1
3166,platinum-platinum,Samus,Marth,Yoshi’s Story,Player 2
3167,platinum-diamond,Captain Falcon,Sheik,Final Destination,Player 2
3168,master-diamond,Samus,Marth,Yoshi’s Story,Player 2
3169,diamond-diamond,Falco,Fox,Battlefield,Player 1
3170,master-master,Luigi,Yoshi,Final Destination,Player 2
3171,diamond-diamond,Mr. Game & Watch,Fox,Fountain of Dreams,Player 1
3172,platinum-diamond,Marth,Fox,Fountain of Dreams,Player 2
3173,master-platinum,Falco,Jigglypuff,Fountain of Dreams,Player 2
3174,diamond-diamond,Falco,Falco,Pokémon Stadium,Player 2
3175,diamond-diamond,Peach,Fox,Final Destination,Player 1
3176,platinum-diamond,Falco,Marth,Final Destination,Player 1
3177,platinum-platinum,Falco,Fox,Dream Land,Player 2
3178,master-master,Captain Falcon,Peach,Pokémon Stadium,Player 1
3179,diamond-diamond,Falco,Ganondorf,Yoshi’s Story,Player 2
3180,platinum-platinum,Captain Falcon,Captain Falcon,Pokémon Stadium,Player 1
3181,master-platinum,Young Link,Luigi,Pokémon Stadium,Player 1
3182,master-diamond,Falco,Jigglypuff,Fountain of Dreams,Player 1
3183,diamond-diamond,Falco,Fox,Pokémon Stadium,Player 2
3184,platinum-platinum,Ness,Fox,Yoshi’s Story,Player 1
3185,master-platinum,Yoshi,Falco,Battlefield,Player 1
3186,diamond-diamond,Samus,Falco,Pokémon Stadium,Player 2
3187,platinum-platinum,Fox,Falco,Yoshi’s Story,Player 2
3188,master-diamond,Dr. Mario,Falco,Fountain of Dreams,Player 1
3189,diamond-diamond,Ness,Mr. Game & Watch,Pokémon Stadium,Player 2
3190,master-platinum,Jigglypuff,Captain Falcon,Yoshi’s Story,Player 1
3191,master-diamond,Marth,Marth,Battlefield,Player 2
3192,master-platinum,Fox,Fox,Dream Land,Player 1
3193,master-diamond,Captain Falcon,Fox,Final Destination,Player 2
3194,platinum-platinum,Marth,Falco,Final Destination,Player 2
3195,master-platinum,Captain Falcon,Falco,Pokémon Stadium,Player 2
3196,diamond-diamond,Sheik,Falco,Fountain of Dreams,Player 1
3197,master-diamond,Marth,Falco,Dream Land,Player 1
3198,diamond-diamond,Fox,Fox,Dream Land,Player 1
3199,master-diamond,Pikachu,Falco,Final Destination,Player 1
3200,master-platinum,Fox,Samus,Battlefield,Player 2
3201,master-master,Fox,Falco,Final Destination,Player 2
3202,master-diamond,Fox,Falco,Yoshi’s Story,Player 2
3203,platinum-platinum,Peach,Captain Falcon,Pokémon Stadium,Player 1
3204,master-diamond,Fox,Marth,Pokémon Stadium,Player 1
3205,master-diamond,Ganondorf,Captain Falcon,Yoshi’s Story,Player 1
3206,master-diamond,Falco,Jigglypuff,Final Destination,Player 1
